Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,768.0,789.5,758.25,782.5,782.5,46769
2022-08-05,782.0,796.75,769.75,775.75,775.75,51597
2022-08-08,776.5,793.75,760.75,779.75,779.75,64408
2022-08-09,785.75,801.25,772.75,781.5,781.5,59015
2022-08-10,781.5,808.5,780.25,799.75,799.75,68225
2022-08-11,800.0,820.75,794.5,810.75,810.75,63667
2022-08-12,811.25,811.25,782.25,806.0,806.0,40652
2022-08-15,802.0,804.5,778.0,800.75,800.75,29781
2022-08-16,799.0,810.5,782.5,786.0,786.0,25480
2022-08-17,785.25,797.0,759.5,763.25,763.25,29954
2022-08-18,764.75,766.5,725.75,731.5,731.5,38267
2022-08-19,733.0,756.75,727.25,753.25,753.25,18896
2022-08-22,754.0,774.0,744.5,770.5,770.5,22523
2022-08-23,770.0,802.5,767.25,782.75,782.75,26881
2022-08-24,782.25,799.75,775.0,795.0,795.0,23598
2022-08-25,794.75,803.5,766.5,769.75,769.75,18247
2022-08-26,764.5,792.25,764.0,784.75,784.75,28064
2022-08-29,785.75,827.0,774.75,820.0,820.0,23866
2022-08-30,818.5,824.0,794.0,798.25,798.25,12216
2022-08-31,794.75,812.25,788.75,809.0,809.0,1705
2022-09-01,802.75,806.0,773.0,775.5,775.5,1046
2022-09-02,793.75,795.25,790.0,793.0,793.0,440
2022-09-06,795.5,800.75,794.25,800.0,800.0,386
2022-09-07,802.25,855.0,802.25,826.5,826.5,389
2022-09-08,815.0,816.5,805.5,810.5,810.5,306
2022-09-09,810.0,853.25,810.0,853.25,853.25,40
2022-09-12,852.5,852.5,837.0,841.25,841.25,54
2022-09-13,850.0,850.0,839.0,842.75,842.75,31
2022-09-14,853.75,853.75,853.75,853.75,853.75,45623
2022-09-15,874.0,884.75,843.25,845.0,845.0,52974
2022-09-16,846.75,866.5,830.75,859.75,859.75,47239
2022-09-19,857.25,861.25,819.25,830.5,830.5,46375
2022-09-20,827.75,896.75,825.5,893.75,893.75,72771
2022-09-21,886.5,919.5,873.0,903.75,903.75,91297
2022-09-22,896.5,922.5,891.0,910.75,910.75,59590
2022-09-23,908.75,913.0,876.0,880.5,880.5,54237
2022-09-26,877.0,890.75,854.25,858.0,858.0,48793
2022-09-27,857.5,894.5,857.0,871.5,871.5,48803
2022-09-28,874.25,905.0,862.0,903.25,903.25,51296
2022-09-29,902.5,914.5,887.75,896.25,896.25,41358
2022-09-30,899.75,945.75,892.75,921.5,921.5,78137
2022-10-03,930.0,938.75,908.5,912.0,912.0,52399
2022-10-04,916.25,927.0,897.5,903.0,903.0,50521
2022-10-05,903.25,919.75,894.25,902.0,902.0,39955
2022-10-06,905.75,907.75,873.25,879.0,879.0,46423
2022-10-07,883.25,896.75,872.5,880.25,880.25,38141
2022-10-10,895.25,949.75,891.5,938.0,938.0,77244
2022-10-11,934.0,936.75,898.0,901.0,901.0,65146
2022-10-12,902.0,903.75,876.25,882.25,882.25,44744
2022-10-13,883.75,906.25,863.0,892.25,892.25,63574
2022-10-14,894.25,898.75,857.25,859.75,859.75,45071
2022-10-17,860.0,877.75,855.25,861.0,861.0,42651
2022-10-18,862.0,866.0,832.75,849.5,849.5,46278
2022-10-19,847.0,862.75,835.5,841.25,841.25,39811
2022-10-20,844.5,855.75,836.75,849.25,849.25,34078
2022-10-21,850.25,863.0,833.0,850.75,850.75,41911
2022-10-24,853.75,856.5,833.5,838.75,838.75,38013
2022-10-25,840.0,844.75,826.75,834.75,834.75,40775
2022-10-26,836.25,846.5,824.0,840.5,840.5,39250
2022-10-27,843.5,858.0,833.5,838.5,838.5,36089
2022-10-28,839.75,840.25,822.5,829.25,829.25,33954
2022-10-31,884.5,893.25,853.75,882.25,882.25,98975
2022-11-01,878.5,904.0,867.75,902.5,902.5,74354
2022-11-02,898.5,902.0,837.75,846.0,846.0,96131
2022-11-03,844.75,849.0,827.75,840.5,840.5,48030
2022-11-04,842.0,855.5,834.0,847.75,847.75,43974
2022-11-07,851.0,863.75,834.0,845.75,845.75,76862
2022-11-08,847.75,855.0,824.75,827.75,827.75,72922
2022-11-09,829.25,834.0,805.25,806.5,806.5,95226
2022-11-10,806.75,815.75,795.5,803.5,803.5,77215
2022-11-11,804.25,819.5,799.5,813.75,813.75,75488
2022-11-14,813.0,828.75,804.75,818.5,818.5,45112
2022-11-15,818.5,843.0,799.25,828.25,828.25,73685
2022-11-16,829.5,829.75,801.5,817.5,817.5,48018
2022-11-17,818.25,818.25,793.75,806.75,806.75,40772
2022-11-18,806.75,816.5,800.25,803.25,803.25,30557
2022-11-21,805.25,808.75,786.0,799.25,799.25,32913
2022-11-22,799.0,806.75,790.0,791.5,791.5,22214
2022-11-23,791.75,797.5,781.25,793.5,793.5,21445
2022-11-25,790.75,799.75,771.0,775.5,775.5,22496
2022-11-28,771.25,774.25,750.25,756.75,756.75,41776
2022-11-29,755.5,769.0,753.75,757.75,757.75,16739
2022-11-30,760.0,772.75,757.25,771.5,771.5,2247
2022-12-01,767.5,767.5,757.25,758.75,758.75,841
2022-12-02,750.0,750.0,737.25,737.25,737.25,516
2022-12-05,730.5,730.5,715.5,715.5,715.5,129
2022-12-06,715.75,715.75,702.5,705.5,705.5,236
2022-12-07,727.25,728.75,727.0,727.0,727.0,409
2022-12-08,721.0,726.75,721.0,724.25,724.25,232
